Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
ACME STEEL CO,11236 S. TORRENCE AVE.,CHICAGO,IL,60617,COOK,ILN000509241,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0509241,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000434325,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.69571 -87.55947
"MIDWEST ELECTRIC DIV. OF COOPER, IND.",1639 W WALNUT,CHICAGO,IL,60612,COOK,ILD059453373,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD059453373,,https://echo.epa.gov/detailed-facility-report?fid=110000612490,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::1001,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000612490,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.8861 -87.66859
CHICAGO HOMETOWN AWARD - BLOOMINGDALE PARK TRAIL,541 N FAIRBANKS 22ND FL,CHICAGO,IL,60611,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:163845",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::39551,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005873260,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.89196 -87.62024
ROBERT CLEMENTE COMM ACAD HS,1147 NORTH WESTERN AVENUE,CHICAGO,IL,60622,COOK,ILN000508652,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0508652,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005951602,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.901667 -87.686389
ROSS MERCURY SPILL,5810 S PEORIA,CHICAGO,IL,60621,COOK,ILSFN0507787,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507787,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005962707,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.788611 -87.6475
109TH PLACE TEAR GAS,SG WEST 109TH PLACE,CHICAGO,IL,60628,COOK,IL0000027714,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507320,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009280054,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.696944 -87.626111
4310 SOUTH INDIANA AVENUE,4310 SOUTH INDIANA AVENUE,CHICAGO,IL,60653,COOK,IL0002009397,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507736,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009282533,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.818333 -87.621389
LAKE SALVAGE COMPANY,2527 WEST LAKE STREET,CHICAGO,IL,60612,COOK,ILD076875285,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505807,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009283088,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.884722 -87.69
76TH & ALBANY,76TH AND ALBANY,CHICAGO,IL,60652,COOK,ILSFN0507984,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507984,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009284390,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.755278 -87.7
CHICAGO CITY OF CYANIDE INCIDENT,2642 SOUTH CALIFORNIA,CHICAGO,IL,60608,COOK,ILD981959216,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501150,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009326675,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.841111 -87.695556
AMERICAN POUCH,4603 W. GLADYS,CHICAGO,IL,60644,COOK,ILD984807669,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0506402,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009336101,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.876111 -87.740833
4834 SOUTH HALSTED,4834 SOUTH HALSTED,CHICAGO,IL,60609,COOK,ILN000508641,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0508641,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110013325106,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.806389 -87.645833
PEOPLES GAS CRAWFORD STATION FORMER MGP,3500 S. PULASKI RD (FORMERLY CRAWFORD AV,CHICAGO,IL,60623,COOK,ILN000510192,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510192,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::81595,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110030434331,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.828894 -87.714989
PEOPLES GAS HAWTHORNE AVENUE FORMER MGP,NW CORNER OF MERCEY ST AND WILLOW ST,CHICAGO,IL,60614,COOK,ILN000510195,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510195,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::81596,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110030434368,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.913256 -87.655889
WOODLAWN PARK,7327 S. WOODLAWN,CHICAGO,IL,60619,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:85481",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::36270,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038737267,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.761847 -87.595744
CUNEO PRESS,2201-2300 S. GROVE STREET,CHICAGO,IL,60609,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:13883",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039531272,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.85279 -87.63902
BURNSIDE STEEL (SOUTH),1326 E. 92ND PLACE,CHICAGO,IL,60619,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:13884",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039531290,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.726798 -87.592221
SOUTH CHICAGO & SOUTH WORKS,3333 E. 87TH STREET,CHICAGO,IL,60617,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:13894",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039545258,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.73785 -87.53372
SOUTH MOZART MERCURY SPILL,5211 S. MOZART,CHICAGO,IL,60632,COOK,ILN000510523,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510523,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110043204797,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.798784 -87.695124
